"Age (years b2k)","d18O GISP2 (‰)","Age BP (SEAD)"
50,"NaN",0
100,"NaN",50
100,-34.97,50
150,-34.97,100
150,-35.17,100
200,-35.17,150
200,-35.16,150
250,-35.16,200
250,-35.24,200
300,-35.24,250
300,-34.96,250
350,-34.96,300
350,-35.26,300
400,-35.26,350
400,-35.05,350
450,-35.05,400
450,-35.18,400
500,-35.18,450
500,-35.14,450
550,-35.14,500
550,-34.84,500
600,-34.84,550
600,-35.24,550
650,-35.24,600
650,-35.04,600
700,-35.04,650
700,-35,650
750,-35,700
750,-34.91,700
800,-34.91,750
800,-35.32,750
850,-35.32,800
850,-34.59,800
900,-34.59,850
900,-34.99,850
950,-34.99,900
950,-34.9,900
1000,-34.9,950
1000,-34.54,950
1050,-34.54,1000
1050,-34.62,1000
1100,-34.62,1050
1100,-35.1,1050
1150,-35.1,1100
1150,-35.35,1100
1200,-35.35,1150
1200,-35.04,1150
1250,-35.04,1200
1250,-35.07,1200
1300,-35.07,1250
1300,-35.13,1250
1350,-35.13,1300
1350,-35,1300
1400,-35,1350
1400,"NaN",1350
1450,"NaN",1400
1450,-34.73,1400
1500,-34.73,1450
1500,-34.93,1450
1550,-34.93,1500
1550,-34.4,1500
1600,-34.4,1550
1600,"NaN",1550
1650,"NaN",1600
1650,-34.79,1600
1700,-34.79,1650
1700,-34.52,1650
1750,-34.52,1700
1750,-35.09,1700
1800,-35.09,1750
1800,-35.13,1750
1850,-35.13,1800
1850,-34.72,1800
1900,-34.72,1850
1900,-34.67,1850
1950,-34.67,1900
1950,-34.79,1900
2000,-34.79,1950
2000,-34.42,1950
2050,-34.42,2000
2050,-34.71,2000
2100,-34.71,2050
2100,-34.25,2050
2150,-34.25,2100
2150,-34.76,2100
2200,-34.76,2150
2200,-34.72,2150
2250,-34.72,2200
2250,-34.58,2200
2300,-34.58,2250
2300,-35.11,2250
2350,-35.11,2300
2350,-34.71,2300
2400,-34.71,2350
2400,-34.19,2350
2450,-34.19,2400
2450,-34.95,2400
2500,-34.95,2450
2500,-34.78,2450
2550,-34.78,2500
2550,-34.75,2500
2600,-34.75,2550
2600,-34.71,2550
2650,-34.71,2600
2650,-34.92,2600
2700,-34.92,2650
2700,-35.01,2650
2750,-35.01,2700
2750,-34.56,2700
2800,-34.56,2750
2800,-34.98,2750
2850,-34.98,2800
2850,-34.58,2800
2900,-34.58,2850
2900,-34.71,2850
2950,-34.71,2900
2950,-34.55,2900
3000,-34.55,2950
3000,-35.1,2950
3050,-35.1,3000
3050,-34.8,3000
3100,-34.8,3050
3100,-34.59,3050
3150,-34.59,3100
3150,-34.72,3100
3200,-34.72,3150
3200,-34.65,3150
3250,-34.65,3200
3250,-34.53,3200
3300,-34.53,3250
3300,-34.12,3250
3350,-34.12,3300
3350,-34.73,3300
3400,-34.73,3350
3400,-35.13,3350
3450,-35.13,3400
3450,"NaN",3400
3500,"NaN",3450
3500,-34.38,3450
3550,-34.38,3500
3550,-34.95,3500
3600,-34.95,3550
3600,-34.52,3550
3650,-34.52,3600
3650,-34.58,3600
3700,-34.58,3650
3700,-34.67,3650
3750,-34.67,3700
3750,-34.82,3700
3800,-34.82,3750
3800,-34.82,3750
3850,-34.82,3800
3850,-34.91,3800
3900,-34.91,3850
3900,-34.96,3850
3950,-34.96,3900
3950,-34.98,3900
4000,-34.98,3950
4000,-34.49,3950
4050,-34.49,4000
4050,-34.73,4000
4100,-34.73,4050
4100,-34.41,4050
4150,-34.41,4100
4150,-34.77,4100
4200,-34.77,4150
4200,-34.7,4150
4250,-34.7,4200
4250,-34.64,4200
4300,-34.64,4250
4300,-34.75,4250
4350,-34.75,4300
4350,-35.13,4300
4400,-35.13,4350
4400,-35.01,4350
4450,-35.01,4400
4450,-34.92,4400
4500,-34.92,4450
4500,-34.82,4450
4550,-34.82,4500
4550,-34.87,4500
4600,-34.87,4550
4600,-34.91,4550
4650,-34.91,4600
4650,-35.44,4600
4700,-35.44,4650
4700,-34.63,4650
4750,-34.63,4700
4750,-35.32,4700
4800,-35.32,4750
4800,"NaN",4750
4850,"NaN",4800
4850,-34.57,4800
4900,-34.57,4850
4900,-34.68,4850
4950,-34.68,4900
4950,-34.52,4900
5000,-34.52,4950
5000,-34.75,4950
5050,-34.75,5000
5050,-34.61,5000
5100,-34.61,5050
5100,-34.77,5050
5150,-34.77,5100
5150,-34.43,5100
5200,-34.43,5150
5200,-34.59,5150
5250,-34.59,5200
5250,-34.62,5200
5300,-34.62,5250
5300,-35.05,5250
5350,-35.05,5300
5350,-35.02,5300
5400,-35.02,5350
5400,-35.18,5350
5450,-35.18,5400
5450,-34.73,5400
5500,-34.73,5450
5500,-34.54,5450
5550,-34.54,5500
5550,-34.53,5500
5600,-34.53,5550
5600,-34.53,5550
5650,-34.53,5600
5650,-34.66,5600
5700,-34.66,5650
5700,-34.74,5650
5750,-34.74,5700
5750,-34.8,5700
5800,-34.8,5750
5800,-34.77,5750
5850,-34.77,5800
5850,-34.72,5800
5900,-34.72,5850
5900,-34.72,5850
5950,-34.72,5900
5950,-34.57,5900
6000,-34.57,5950
6000,-34.65,5950
6050,-34.65,6000
6050,-34.77,6000
6100,-34.77,6050
6100,-35.09,6050
6150,-35.09,6100
6150,-34.51,6100
6200,-34.51,6150
6200,-34.84,6150
6250,-34.84,6200
6250,-35.02,6200
6300,-35.02,6250
6300,-34.72,6250
6350,-34.72,6300
6350,-34.79,6300
6400,-34.79,6350
6400,-34.65,6350
6450,-34.65,6400
6450,-34.83,6400
6500,-34.83,6450
6500,-34.83,6450
6550,-34.83,6500
6550,-35.03,6500
6600,-35.03,6550
6600,-34.75,6550
6650,-34.75,6600
6650,-34.68,6600
6700,-34.68,6650
6700,-34.91,6650
6750,-34.91,6700
6750,-34.45,6700
6800,-34.45,6750
6800,-34.17,6750
6850,-34.17,6800
6850,-34.24,6800
6900,-34.24,6850
6900,-34.22,6850
6950,-34.22,6900
6950,-34.61,6900
7000,-34.61,6950
7000,-34.62,6950
7050,-34.62,7000
7050,-35.07,7000
7100,-35.07,7050
7100,-34.85,7050
7150,-34.85,7100
7150,-34.78,7100
7200,-34.78,7150
7200,-35.01,7150
7250,-35.01,7200
7250,-34.98,7200
7300,-34.98,7250
7300,-34.58,7250
7350,-34.58,7300
7350,-34.56,7300
7400,-34.56,7350
7400,-34.44,7350
7450,-34.44,7400
7450,-34.54,7400
7500,-34.54,7450
7500,-35.02,7450
7550,-35.02,7500
7550,-34.62,7500
7600,-34.62,7550
7600,-34.55,7550
7650,-34.55,7600
7650,-34.42,7600
7700,-34.42,7650
7700,-34.26,7650
7750,-34.26,7700
7750,-34.3,7700
7800,-34.3,7750
7800,-34.23,7750
7850,-34.23,7800
7850,-34.38,7800
7900,-34.38,7850
7900,-34.53,7850
7950,-34.53,7900
7950,-34.44,7900
8000,-34.44,7950
8000,-34.69,7950
8050,-34.69,8000
8050,-34.99,8000
8100,-34.99,8050
8100,-35.15,8050
8150,-35.15,8100
8150,-35.35,8100
8200,-35.35,8150
8200,-36.29,8150
8250,-36.29,8200
8250,-35.36,8200
8300,-35.36,8250
8300,-34.6,8250
8350,-34.6,8300
8350,-34.72,8300
8400,-34.72,8350
8400,-34.8,8350
8450,-34.8,8400
8450,-34.71,8400
8500,-34.71,8450
8500,-34.72,8450
8550,-34.72,8500
8550,-34.72,8500
8600,-34.72,8550
8600,-34.56,8550
8650,-34.56,8600
8650,-34.7,8600
8700,-34.7,8650
8700,-34.58,8650
8750,-34.58,8700
8750,-34.35,8700
8800,-34.35,8750
8800,-34.48,8750
8850,-34.48,8800
8850,-34.77,8800
8900,-34.77,8850
8900,-34.13,8850
8950,-34.13,8900
8950,-34.33,8900
9000,-34.33,8950
9000,-34.81,8950
9050,-34.81,9000
9050,-34.53,9000
9100,-34.53,9050
9100,-34.4,9050
9150,-34.4,9100
9150,-34.59,9100
9200,-34.59,9150
9200,-34.73,9150
9250,-34.73,9200
9250,-35.06,9200
9300,-35.06,9250
9300,-34.79,9250
9350,-34.79,9300
9350,-34.31,9300
9400,-34.31,9350
9400,-34.22,9350
9450,-34.22,9400
9450,-34.7,9400
9500,-34.7,9450
9500,-35.31,9450
9550,-35.31,9500
9550,-35.03,9500
9600,-35.03,9550
9600,-34.76,9550
9650,-34.76,9600
9650,-34.49,9600
9700,-34.49,9650
9700,-34.71,9650
9750,-34.71,9700
9750,-34.31,9700
9800,-34.31,9750
9800,-34.69,9750
9850,-34.69,9800
9850,-34.96,9800
9900,-34.96,9850
9900,-35.09,9850
9950,-35.09,9900
9950,-34.74,9900
10000,-34.74,9950
10000,-34.51,9950
10050,-34.51,10000
10050,-34.99,10000
10100,-34.99,10050
10100,-35.41,10050
10150,-35.41,10100
10150,-35.43,10100
10200,-35.43,10150
10200,-34.85,10150
10250,-34.85,10200
10250,-35.53,10200
10300,-35.53,10250
10300,-35.35,10250
10350,-35.35,10300
10350,-35.6,10300
10400,-35.6,10350
10400,-36,10350
10450,-36,10400
10450,-35.74,10400
10500,-35.74,10450
