taxon,sample,taxonomic_level,level,family,genus,id,latitude_dd,longitude_dd,type,base,top,age,age_range,ageBin,layer
Agabus|bipustulatus|(L.),COUN000747|3473,species,species,DYTISCIDAE,Agabus,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Amphichroum|hirtellum|(Heer),COUN001138|5337,species,species,STAPHYLINIDAE,Amphichroum,5337,44.78361,6.288611,sequences,669,266,467.5,403,500,1
Aphodius|abdominalis|Bonelli,COUN001138|5338,species,species,SCARABAEIDAE,Aphodius,5338,44.78361,6.288611,sequences,654,69,361.5,585,500,1
Aphodius|abdominalis|Bonelli,COUN001138|5340,species,species,SCARABAEIDAE,Aphodius,5340,44.78361,6.288611,sequences,629,0,314.5,629,500,1
Aphodius|obscurus|(F.),COUN000747|3473,species,species,SCARABAEIDAE,Aphodius,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Bembidion|bipunctatum|(L.),COUN001138|5337,species,species,CARABIDAE,Bembidion,5337,44.78361,6.288611,sequences,669,266,467.5,403,500,1
Chaetocnema|hortensis|(Geoff.),COUN000747|3473,species,species,CHRYSOMELIDAE,Chaetocnema,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Coccinella|venusta|Weise,COUN000747|3473,species,species,COCCINELLIDAE,Coccinella,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Dryophilus|pusillus|(Gyll.),COUN000747|3473,species,species,ANOBIIDAE,Dryophilus,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Euheptaulacus|carinatus|(Germ.),COUN000747|3473,species,species,SCARABAEIDAE,Euheptaulacus,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Galeruca|tanaceti|(L.),COUN000747|3473,species,species,CHRYSOMELIDAE,Galeruca,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
Haliplus|lineatocollis|Marsham,COUN000747|3473,species,species,HALIPLIDAE,Haliplus,3473,44.057777,7.457222,sequences,265,20,142.5,245,500,1
