sample,trait,w,id,latitude_dd,longitude_dd,type,base,top,age,age_range,ageBin,layer
COUN000244|1125,Du,1,1125,51.75,-1.25,sequences,550,330,440,220,500,1
COUN000244|1125,Pa,1,1125,51.75,-1.25,sequences,550,330,440,220,500,1
COUN000288|1312,Aq,0.166666667,1312,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1312,Di,0.333333333,1312,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1312,Du,0.166666667,1312,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1312,Me,0.166666667,1312,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1312,Pa,0.166666667,1312,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1312,Sa,0.333333333,1312,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1312,We,0.166666667,1312,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1312,Wo,0.166666667,1312,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1313,Aq,0.333333333,1313,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1313,Ca,0.166666667,1313,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1313,Du,0.166666667,1313,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1313,ICo,0.166666667,1313,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1313,Pa,0.166666667,1313,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1313,We,0.333333333,1313,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1313,Wo,0.166666667,1313,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1314,Aq,0.333333333,1314,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1314,Di,0.055555556,1314,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1314,Du,0.111111111,1314,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1314,He,0.111111111,1314,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1314,Me,0.055555556,1314,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1314,Pa,0.111111111,1314,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1314,Sa,0.111111111,1314,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1314,We,0.277777778,1314,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1314,Wo,0.111111111,1314,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1315,Aq,0.5,1315,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1315,Du,0.5,1315,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000288|1315,Pa,0.5,1315,59.90505,17.631268,sequences,400,0,200,400,500,1
COUN000786|3682,Aq,0.142857143,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Ca,0.057142857,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Di,0.128571429,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Dr,0.028571429,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Du,0.185714286,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Ge,0.028571429,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Ha,0.014285714,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,He,0.042857143,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,IDe,0.014285714,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,IDu,0.014285714,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,ISt,0.071428571,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Me,0.157142857,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Op,0.014285714,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Pa,0.214285714,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Sa,0.1,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,We,0.228571429,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN000786|3682,Wo,0.142857143,3682,53.46345,-2.9429,sequences,500,350,425,150,500,1
COUN001345|6307,Aq,0.230769231,6307,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6307,Di,0.076923077,6307,52.634342,1.304786,sequences,110,110,110,0,500,1
