sample_identifier_short,physical_sample_id,sample_identifier,latitude_dd,longitude_dd,sampling_context,Age_BP_From,Age_BP_To,region
COUN000007|4,4,Alcester: Coulter's Garage|COUN000007|S240cm|4,52.215557,-1.8725,Stratigraphic sequence,2748,2164,Nor
COUN000008|6,6,Alcester: Alluvial|COUN000008|LE|6,52.2175,-1.8563889,Stratigraphic sequence,9499,9033,Nor
COUN000008|7,7,Alcester: Alluvial|COUN000008|LF|7,52.2175,-1.8563889,Stratigraphic sequence,9499,9033,Nor
COUN000013|14,14,Armthorpe|COUN000013|S1|14,53.545,-1.0402777,Stratigraphic sequence,13325,12713,Nor
COUN000015|16,16,Aston Mill: Late Holocene|COUN000015|S1|16,52.01611,-2.0830555,Stratigraphic sequence,3898,3392,Nor
COUN000022|24,24,Baker site|COUN000022|T|24,51.139446,-2.796111,Stratigraphic sequence,5464,4892,Nor
COUN000043|99,99,Bigholm Burn|COUN000043|A|99,55.120556,-3.0738888,Stratigraphic sequence,14077,13092,Nor
COUN000053|124,124,Brighouse Bay|COUN000053|Bulk|124,54.783054,-4.1255555,Stratigraphic sequence,11255,10593,Nor
COUN000060|141,141,Bysjön|COUN000060|S1|141,55.683334,13.55,Stratigraphic sequence,13261,12821,Nor
COUN000075|175,175,Davenham: Church Moss|COUN000075|DVJB1|175,53.237778,-2.506389,Stratigraphic sequence,14978,14223,Nor
COUN000075|176,176,Davenham: Church Moss|COUN000075|DVJB2|176,53.237778,-2.506389,Stratigraphic sequence,11065,10506,Nor
COUN000075|177,177,Davenham: Church Moss|COUN000075|DVJB3|177,53.237778,-2.506389,Stratigraphic sequence,12223,11501,Nor
COUN000075|178,178,Davenham: Church Moss|COUN000075|DVJB4|178,53.237778,-2.506389,Stratigraphic sequence,11760,11100,Nor
COUN000075|179,179,Davenham: Church Moss|COUN000075|DVJB5|179,53.237778,-2.506389,Stratigraphic sequence,10752,10427,Nor
COUN000075|180,180,Davenham: Church Moss|COUN000075|DVJB6|180,53.237778,-2.506389,Stratigraphic sequence,10245,9931,Nor
COUN000075|181,181,Davenham: Church Moss|COUN000075|DVJB7|181,53.237778,-2.506389,Stratigraphic sequence,9727,8594,Nor
COUN000076|191,191,Church Stretton RS2|COUN000076|S9|191,52.54028,-2.7991667,Stratigraphic sequence,7000,5000,Nor
COUN000076|192,192,Church Stretton RS2|COUN000076|S10|192,52.54028,-2.7991667,Stratigraphic sequence,7000,5000,Nor
COUN000076|193,193,Church Stretton RS2|COUN000076|S11|193,52.54028,-2.7991667,Stratigraphic sequence,7000,5000,Nor
COUN000076|194,194,Church Stretton RS2|COUN000076|S12|194,52.54028,-2.7991667,Stratigraphic sequence,7000,5000,Nor
COUN000076|195,195,Church Stretton RS2|COUN000076|S13|195,52.54028,-2.7991667,Stratigraphic sequence,7000,5000,Nor
COUN000076|196,196,Church Stretton RS2|COUN000076|S14|196,52.54028,-2.7991667,Stratigraphic sequence,9000,7000,Nor
COUN000076|197,197,Church Stretton RS2|COUN000076|S15|197,52.54028,-2.7991667,Stratigraphic sequence,9000,7000,Nor
COUN000076|210,210,Church Stretton RS2|COUN000076|S28|210,52.54028,-2.7991667,Stratigraphic sequence,13724,12082,Nor
COUN000078|216,216,Clettnadal|COUN000078|S1|216,60.052223,-1.3608333,Stratigraphic sequence,7958,7843,Nor
COUN000078|217,217,Clettnadal|COUN000078|S2|217,60.052223,-1.3608333,Stratigraphic sequence,8776,8674,Nor
COUN000078|218,218,Clettnadal|COUN000078|S3|218,60.052223,-1.3608333,Stratigraphic sequence,9648,9481,Nor
COUN000078|219,219,Clettnadal|COUN000078|S4|219,60.052223,-1.3608333,Stratigraphic sequence,9997,9822,Nor
COUN000078|220,220,Clettnadal|COUN000078|S5|220,60.052223,-1.3608333,Stratigraphic sequence,10501,10203,Nor
COUN000078|221,221,Clettnadal|COUN000078|S6|221,60.052223,-1.3608333,Stratigraphic sequence,10771,10444,Nor
COUN000078|222,222,Clettnadal|COUN000078|S7|222,60.052223,-1.3608333,Stratigraphic sequence,11123,10576,Nor
COUN000078|223,223,Clettnadal|COUN000078|S8|223,60.052223,-1.3608333,Stratigraphic sequence,12009,11356,Nor
COUN000078|224,224,Clettnadal|COUN000078|S9|224,60.052223,-1.3608333,Stratigraphic sequence,12390,11927,Nor
COUN000078|225,225,Clettnadal|COUN000078|S10|225,60.052223,-1.3608333,Stratigraphic sequence,12635,12275,Nor
COUN000078|226,226,Clettnadal|COUN000078|S11|226,60.052223,-1.3608333,Stratigraphic sequence,12903,12570,Nor
COUN000078|227,227,Clettnadal|COUN000078|S12|227,60.052223,-1.3608333,Stratigraphic sequence,13205,12824,Nor
COUN000078|228,228,Clettnadal|COUN000078|S13|228,60.052223,-1.3608333,Stratigraphic sequence,13573,13297,Nor
COUN000078|229,229,Clettnadal|COUN000078|S14|229,60.052223,-1.3608333,Stratigraphic sequence,14147,13755,Nor
COUN000089|255,255,Croydon|COUN000089|Site 1|255,51.371944,-0.1425,Stratigraphic sequence,12158,11265,Nor
COUN000089|256,256,Croydon|COUN000089|Site 2|256,51.371944,-0.1425,Stratigraphic sequence,12158,11265,Nor
COUN000120|334,334,Farmoor: Late Glacial|COUN000120|S1|334,51.74972,-1.3466667,Stratigraphic sequence,13038,11724,Nor
COUN000135|445,445,Godøy|COUN000135|S1|445,62.5,6.176,Stratigraphic sequence,13096,12799,Nor
COUN000135|446,446,Godøy|COUN000135|S2|446,62.5,6.176,Stratigraphic sequence,13096,12799,Nor
COUN000135|447,447,Godøy|COUN000135|S3|447,62.5,6.176,Stratigraphic sequence,13096,12799,Nor
COUN000135|448,448,Godøy|COUN000135|S4|448,62.5,6.176,Stratigraphic sequence,13096,12662,Nor
COUN000146|552,552,Hanö|COUN000146|T2A|552,55.7267,14.199779,Stratigraphic sequence,11089,10436,Nor
COUN000146|554,554,Hanö|COUN000146|T3|554,55.7267,14.199779,Stratigraphic sequence,11190,10681,Nor
COUN000146|556,556,Hanö|COUN000146|T5|556,55.7267,14.199779,Stratigraphic sequence,9433,8800,Nor
