,experiment,layer_id,numModules,Perplexity,jaccard
1,1,1,1,1.00,1.00
2,1,2,1,1.00,1.00
3,1,3,1,1.00,1.00
4,1,4,1,1.00,1.00
5,1,5,3,1.07,1.00
6,1,6,1,1.00,1.00
7,1,7,1,1.00,1.00
8,1,8,1,1.00,0.81
9,1,9,2,1.09,1.00
10,1,10,3,1.06,1.00
11,1,11,1,1.00,0.99
12,1,12,1,1.00,0.99
13,1,13,2,1.09,1.00
14,1,14,2,1.72,0.71
15,1,15,1,1.00,1.00
16,1,16,3,1.41,1.00
17,1,17,1,1.00,1.00
18,1,18,2,1.19,1.00
19,1,19,3,1.25,1.00
20,1,20,2,1.53,0.58
21,1,21,1,1.00,1.00
22,1,22,3,1.10,1.00
23,1,23,2,1.06,0.98
24,1,24,3,1.08,1.00
25,1,25,1,1.00,1.00
26,1,26,1,1.00,0.99
27,1,27,1,1.00,0.99
28,1,28,1,1.00,1.00
29,1,29,2,1.05,1.00
30,1,30,1,1.00,1.00
31,1,31,1,1.00,1.00
32,1,32,1,1.00,1.00
33,2,1,1,1.00,1.00
34,2,2,1,1.00,1.00
35,2,3,1,1.00,1.00
36,2,4,1,1.00,1.00
37,2,5,3,1.07,1.00
38,2,6,1,1.00,1.00
39,2,7,1,1.00,1.00
40,2,8,2,1.50,1.00
41,2,9,2,1.09,1.00
42,2,10,4,1.09,1.00
43,2,11,2,1.03,1.00
44,2,12,2,1.09,0.98
45,2,13,2,1.09,1.00
46,2,14,1,1.00,1.00
47,2,15,1,1.00,1.00
48,2,16,3,1.41,1.00
49,2,17,1,1.00,1.00
50,2,18,2,1.19,1.00
51,2,19,3,1.25,1.00
52,2,20,2,1.62,1.00
53,2,21,1,1.00,1.00
54,2,22,3,1.10,1.00
55,2,23,2,1.06,1.00
56,2,24,3,1.08,1.00
57,2,25,1,1.00,1.00
58,2,26,2,1.03,1.00
59,2,27,2,1.02,0.99
60,2,28,1,1.00,1.00
61,2,29,2,1.05,1.00
62,2,30,2,1.06,0.98
63,2,31,1,1.00,1.00
64,2,32,1,1.00,1.00
65,3,1,2,1.04,0.99
66,3,2,1,1.00,1.00
67,3,3,1,1.00,1.00
68,3,4,2,1.03,0.99
69,3,5,4,1.15,0.98
70,3,6,3,1.07,0.98
71,3,7,2,1.02,1.00
72,3,8,2,1.06,0.79
73,3,9,2,1.09,1.00
74,3,10,4,1.08,1.00
75,3,11,2,1.03,1.00
76,3,12,1,1.00,0.99
77,3,13,2,1.09,1.00
78,3,14,1,1.00,1.00
79,3,15,1,1.00,1.00
80,3,16,3,1.41,1.00
81,3,17,1,1.00,1.00
82,3,18,2,1.19,1.00
83,3,19,3,1.25,1.00
84,3,20,2,1.62,1.00
85,3,21,1,1.00,1.00
86,3,22,3,1.10,1.00
87,3,23,2,1.06,0.98
88,3,24,2,1.06,1.00
89,3,25,1,1.00,1.00
90,3,26,1,1.00,0.99
91,3,27,2,1.04,1.00
92,3,28,1,1.00,1.00
93,3,29,2,1.05,1.00
94,3,30,1,1.00,1.00
95,3,31,1,1.00,1.00
96,3,32,1,1.00,1.00
97,4,1,1,1.00,1.00
98,4,2,1,1.00,1.00
99,4,3,1,1.00,1.00
100,4,4,1,1.00,1.00
101,4,5,3,1.07,1.00
102,4,6,2,1.05,0.99
103,4,7,1,1.00,1.00
104,4,8,1,1.00,0.81
105,4,9,2,1.09,1.00
106,4,10,4,1.08,1.00
107,4,11,1,1.00,0.99
108,4,12,1,1.00,0.99
109,4,13,2,1.09,1.00
110,4,14,1,1.00,1.00
111,4,15,1,1.00,1.00
112,4,16,3,1.41,1.00
113,4,17,1,1.00,1.00
114,4,18,2,1.19,1.00
115,4,19,3,1.25,1.00
