,experiment,layer_id,numModules,Perplexity,jaccard
1,1,1,1,1,1
2,1,2,1,1,1
3,1,3,1,1,1
4,1,4,1,1,1
5,1,5,1,1,1
6,1,6,1,1,1
7,1,7,1,1,1
8,1,8,1,1,1
9,1,9,1,1,1
10,1,10,1,1,1
11,1,11,1,1,1
12,1,12,1,1,1
13,1,13,1,1,1
14,1,14,1,1,1
15,1,15,1,1,1
16,1,16,1,1,1
17,1,17,1,1,1
18,1,18,1,1,1
19,1,19,1,1,1
20,1,20,1,1,1
21,1,21,1,1,1
22,1,22,1,1,1
23,1,23,1,1,1
24,1,24,1,1,1
25,1,25,1,1,1
26,1,26,1,1,1
27,1,27,1,1,1
28,1,28,1,1,1
29,1,29,1,1,1
30,1,30,1,1,1
31,1,31,1,1,1
32,1,32,1,1,1
33,2,1,1,1,1
34,2,2,2,1.28262695,0.902376033
35,2,3,1,1,1
36,2,4,1,1,1
37,2,5,1,1,1
38,2,6,1,1,1
39,2,7,1,1,1
40,2,8,1,1,1
41,2,9,5,4.5429613,0.244081633
42,2,10,1,1,1
43,2,11,1,1,1
44,2,12,1,1,1
45,2,13,1,1,1
46,2,14,2,1.796701742,0.665289256
47,2,15,1,1,1
48,2,16,1,1,1
49,2,17,1,1,1
50,2,18,1,1,1
51,2,19,1,1,1
52,2,20,1,1,1
53,2,21,2,1.526090273,0.7975
54,2,22,1,1,1
55,2,23,1,1,1
56,2,24,1,1,1
57,2,25,1,1,1
58,2,26,1,1,1
59,2,27,1,1,1
60,2,28,1,1,1
61,2,29,1,1,1
62,2,30,1,1,1
63,2,31,1,1,1
64,2,32,1,1,1
65,3,1,2,1.219590618,0.9275
66,3,2,2,1.28262695,0.902376033
67,3,3,1,1,1
68,3,4,1,1,1
69,3,5,1,1,1
70,3,6,1,1,1
71,3,7,1,1,1
72,3,8,2,1.432534349,0.839102217
73,3,9,3,2.900829906,0.406938776
74,3,10,1,1,1
75,3,11,1,1,1
76,3,12,1,1,1
77,3,13,1,1,1
78,3,14,2,1.796701742,0.665289256
79,3,15,1,1,1
80,3,16,1,1,1
81,3,17,1,1,1
82,3,18,1,1,1
83,3,19,2,1.521175467,0.799725652
84,3,20,1,1,1
85,3,21,2,1.526090273,0.7975
86,3,22,2,1.189110093,0.939236111
87,3,23,1,1,1
88,3,24,1,1,1
89,3,25,1,1,1
90,3,26,1,1,1
91,3,27,1,1,1
92,3,28,1,1,1
93,3,29,2,1.998628415,0.509602195
94,3,30,1,1,1
95,3,31,1,1,1
96,3,32,1,1,1
97,4,1,1,1,1
98,4,2,2,1.28262695,0.902376033
99,4,3,1,1,1
100,4,4,1,1,1
101,4,5,1,1,1
102,4,6,1,1,1
103,4,7,1,1,1
104,4,8,2,1.432534349,0.839102217
105,4,9,4,3.982318364,0.268979592
106,4,10,1,1,1
107,4,11,1,1,1
108,4,12,1,1,1
109,4,13,1,1,1
110,4,14,2,1.796701742,0.665289256
111,4,15,1,1,1
112,4,16,3,2.77897749,0.455782313
113,4,17,1,1,1
114,4,18,1,1,1
115,4,19,1,1,1
116,4,20,1,1,1
117,4,21,2,1.526090273,0.7975
118,4,22,1,1,1
119,4,23,1,1,1
120,4,24,1,1,1
121,4,25,1,1,1
122,4,26,1,1,1
123,4,27,1,1,1
124,4,28,1,1,1
125,4,29,1,1,1
126,4,30,1,1,1
127,4,31,1,1,1
128,4,32,1,1,1
129,5,1,1,1,1
130,5,2,2,1.28262695,0.902376033
131,5,3,1,1,1
132,5,4,1,1,1
133,5,5,1,1,1
134,5,6,1,1,1
135,5,7,1,1,1
136,5,8,1,1,1
137,5,9,3,2.797062133,0.448571429
138,5,10,1,1,1
139,5,11,1,1,1
140,5,12,1,1,1
141,5,13,1,1,1
142,5,14,1,1,1
143,5,15,1,1,1
144,5,16,1,1,1
145,5,17,1,1,1
146,5,18,1,1,1
147,5,19,1,1,1
148,5,20,1,1,1
149,5,21,2,1.526090273,0.7975
150,5,22,1,1,1
151,5,23,1,1,1
152,5,24,1,1,1
153,5,25,1,1,1
154,5,26,1,1,1
155,5,27,1,1,1
156,5,28,1,1,1
157,5,29,1,1,1
158,5,30,1,1,1
159,5,31,1,1,1
160,5,32,1,1,1
161,6,1,1,1,1
162,6,2,2,1.28262695,0.902376033
163,6,3,1,1,1
164,6,4,1,1,1
165,6,5,1,1,1
166,6,6,1,1,1
167,6,7,1,1,1
168,6,8,1,1,1
169,6,9,3,2.797062133,0.448571429
170,6,10,1,1,1
171,6,11,1,1,1
172,6,12,1,1,1
173,6,13,1,1,1
174,6,14,2,1.796701742,0.665289256
175,6,15,1,1,1
176,6,16,3,2.935819181,0.363945578
177,6,17,2,1.627284557,0.750566893
178,6,18,1,1,1
179,6,19,2,1.521175467,0.799725652
180,6,20,3,1.790659961,0.761814745
181,6,21,1,1,1
182,6,22,1,1,1
183,6,23,1,1,1
184,6,24,1,1,1
185,6,25,1,1,1
186,6,26,1,1,1
187,6,27,1,1,1
188,6,28,1,1,1
189,6,29,1,1,1
190,6,30,1,1,1
191,6,31,1,1,1
192,6,32,1,1,1
193,7,1,1,1,1
194,7,2,2,1.28262695,0.902376033
195,7,3,1,1,1
196,7,4,1,1,1
197,7,5,1,1,1
198,7,6,1,1,1
199,7,7,1,1,1
200,7,8,1,1,1
201,7,9,1,1,1
202,7,10,1,1,1
203,7,11,1,1,1
204,7,12,1,1,1
205,7,13,1,1,1
206,7,14,2,1.796701742,0.665289256
207,7,15,1,1,1
208,7,16,5,4.198557124,0.297052154
209,7,17,1,1,1
210,7,18,1,1,1
211,7,19,2,1.302195976,0.894375857
212,7,20,1,1,1
213,7,21,2,1.649384888,0.74
214,7,22,2,1.189110093,0.939236111
215,7,23,1,1,1
216,7,24,1,1,1
217,7,25,1,1,1
218,7,26,1,1,1
219,7,27,1,1,1
220,7,28,1,1,1
221,7,29,1,1,1
222,7,30,1,1,1
223,7,31,1,1,1
224,7,32,1,1,1
225,8,1,1,1,1
226,8,2,3,1.538072083,0.839359504
227,8,3,1,1,1
228,8,4,1,1,1
229,8,5,1,1,1
230,8,6,1,1,1
231,8,7,1,1,1
232,8,8,2,1.432534349,0.839102217
233,8,9,4,3.982318364,0.268979592
234,8,10,1,1,1
235,8,11,1,1,1
236,8,12,1,1,1
237,8,13,1,1,1
238,8,14,1,1,1
239,8,15,1,1,1
240,8,16,2,1.506993066,0.806122449
241,8,17,1,1,1
242,8,18,1,1,1
243,8,19,1,1,1
244,8,20,1,1,1
245,8,21,2,1.649384888,0.74
246,8,22,1,1,1
247,8,23,1,1,1
248,8,24,1,1,1
249,8,25,1,1,1
250,8,26,1,1,1
251,8,27,1,1,1
252,8,28,1,1,1
253,8,29,1,1,1
254,8,30,1,1,1
255,8,31,2,1.991741215,0.524793388
256,8,32,1,1,1
257,9,1,1,1,1
258,9,2,2,1.28262695,0.902376033
259,9,3,1,1,1
260,9,4,1,1,1
261,9,5,1,1,1
262,9,6,1,1,1
263,9,7,1,1,1
264,9,8,1,1,1
265,9,9,4,3.982318364,0.268979592
266,9,10,1,1,1
267,9,11,1,1,1
268,9,12,1,1,1
269,9,13,1,1,1
270,9,14,1,1,1
271,9,15,1,1,1
272,9,16,4,3.388942792,0.348072562
273,9,17,3,2.181757576,0.634920635
274,9,18,1,1,1
275,9,19,3,2.254820494,0.621399177
276,9,20,1,1,1
277,9,21,2,1.526090273,0.7975
278,9,22,1,1,1
279,9,23,1,1,1
280,9,24,1,1,1
281,9,25,1,1,1
282,9,26,1,1,1
283,9,27,1,1,1
284,9,28,1,1,1
285,9,29,1,1,1
286,9,30,1,1,1
287,9,31,1,1,1
288,9,32,1,1,1
289,10,1,1,1,1
290,10,2,2,1.28262695,0.902376033
291,10,3,1,1,1
292,10,4,1,1,1
293,10,5,1,1,1
294,10,6,1,1,1
295,10,7,1,1,1
296,10,8,2,1.432534349,0.839102217
297,10,9,4,3.995006958,0.253877551
298,10,10,1,1,1
299,10,11,1,1,1
300,10,12,1,1,1
301,10,13,1,1,1
302,10,14,2,1.796701742,0.665289256
303,10,15,1,1,1
304,10,16,1,1,1
305,10,17,1,1,1
306,10,18,1,1,1
307,10,19,1,1,1
308,10,20,1,1,1
309,10,21,2,1.526090273,0.7975
310,10,22,1,1,1
311,10,23,1,1,1
312,10,24,1,1,1
313,10,25,1,1,1
314,10,26,1,1,1
315,10,27,1,1,1
316,10,28,1,1,1
317,10,29,1,1,1
318,10,30,1,1,1
319,10,31,2,1.606630796,0.760330579
320,10,32,1,1,1
321,11,1,1,1,1
322,11,2,3,1.538072083,0.839359504
323,11,3,1,1,1
324,11,4,1,1,1
325,11,5,1,1,1
326,11,6,1,1,1
327,11,7,1,1,1
328,11,8,2,1.497981095,0.810167658
329,11,9,2,1.768350463,0.680408163
330,11,10,1,1,1
331,11,11,1,1,1
332,11,12,1,1,1
333,11,13,1,1,1
334,11,14,1,1,1
335,11,15,1,1,1
336,11,16,2,1.506993066,0.806122449
337,11,17,1,1,1
338,11,18,1,1,1
339,11,19,2,1.521175467,0.799725652
340,11,20,1,1,1
341,11,21,2,1.526090273,0.7975
342,11,22,1,1,1
343,11,23,1,1,1
344,11,24,1,1,1
345,11,25,1,1,1
346,11,26,1,1,1
347,11,27,1,1,1
348,11,28,1,1,1
349,11,29,1,1,1
350,11,30,1,1,1
351,11,31,1,1,1
352,11,32,1,1,1
353,12,1,2,1.219590618,0.9275
354,12,2,2,1.28262695,0.902376033
355,12,3,1,1,1
356,12,4,2,1.428094332,0.841037356
357,12,5,1,1,1
358,12,6,1,1,1
359,12,7,1,1,1
360,12,8,2,1.432534349,0.839102217
361,12,9,4,3.982318364,0.268979592
362,12,10,1,1,1
363,12,11,1,1,1
364,12,12,1,1,1
365,12,13,1,1,1
366,12,14,1,1,1
367,12,15,1,1,1
368,12,16,1,1,1
369,12,17,2,1.627284557,0.750566893
370,12,18,1,1,1
371,12,19,2,1.614726551,0.756515775
372,12,20,1,1,1
373,12,21,2,1.526090273,0.7975
374,12,22,1,1,1
375,12,23,1,1,1
376,12,24,1,1,1
377,12,25,1,1,1
378,12,26,1,1,1
379,12,27,1,1,1
380,12,28,1,1,1
381,12,29,1,1,1
382,12,30,1,1,1
383,12,31,1,1,1
384,12,32,1,1,1
385,13,1,1,1,1
386,13,2,2,1.28262695,0.902376033
387,13,3,1,1,1
388,13,4,1,1,1
389,13,5,1,1,1
390,13,6,1,1,1
391,13,7,1,1,1
392,13,8,2,1.432534349,0.839102217
393,13,9,3,2.797062133,0.448571429
394,13,10,1,1,1
395,13,11,1,1,1
396,13,12,1,1,1
397,13,13,1,1,1
398,13,14,2,1.796701742,0.665289256
399,13,15,1,1,1
400,13,16,1,1,1
401,13,17,1,1,1
402,13,18,1,1,1
403,13,19,2,1.302195976,0.894375857
404,13,20,1,1,1
405,13,21,1,1,1
406,13,22,1,1,1
407,13,23,1,1,1
408,13,24,1,1,1
409,13,25,1,1,1
410,13,26,1,1,1
411,13,27,1,1,1
412,13,28,1,1,1
413,13,29,1,1,1
414,13,30,1,1,1
415,13,31,1,1,1
416,13,32,1,1,1
417,14,1,1,1,1
418,14,2,2,1.28262695,0.902376033
419,14,3,1,1,1
420,14,4,1,1,1
421,14,5,1,1,1
422,14,6,1,1,1
423,14,7,1,1,1
424,14,8,1,1,1
425,14,9,1,1,1
426,14,10,1,1,1
427,14,11,1,1,1
428,14,12,1,1,1
429,14,13,1,1,1
430,14,14,1,1,1
431,14,15,1,1,1
432,14,16,4,3.777304322,0.329931973
433,14,17,1,1,1
434,14,18,1,1,1
435,14,19,2,1.521175467,0.799725652
436,14,20,1,1,1
437,14,21,2,1.649384888,0.74
438,14,22,1,1,1
439,14,23,1,1,1
440,14,24,1,1,1
441,14,25,1,1,1
442,14,26,1,1,1
443,14,27,1,1,1
444,14,28,1,1,1
445,14,29,1,1,1
446,14,30,1,1,1
447,14,31,1,1,1
448,14,32,1,1,1
449,15,1,1,1,1
450,15,2,2,1.28262695,0.902376033
451,15,3,1,1,1
452,15,4,1,1,1
453,15,5,1,1,1
454,15,6,1,1,1
455,15,7,1,1,1
456,15,8,1,1,1
457,15,9,1,1,1
458,15,10,1,1,1
459,15,11,1,1,1
460,15,12,1,1,1
461,15,13,1,1,1
462,15,14,2,1.796701742,0.665289256
463,15,15,1,1,1
464,15,16,3,2.657325615,0.495464853
465,15,17,3,2.181757576,0.634920635
466,15,18,1,1,1
467,15,19,2,1.521175467,0.799725652
468,15,20,1,1,1
469,15,21,2,1.526090273,0.7975
470,15,22,1,1,1
471,15,23,1,1,1
472,15,24,1,1,1
473,15,25,1,1,1
474,15,26,1,1,1
475,15,27,1,1,1
476,15,28,1,1,1
477,15,29,2,1.998628415,0.509602195
478,15,30,1,1,1
479,15,31,1,1,1
480,15,32,1,1,1
481,16,1,1,1,1
482,16,2,2,1.28262695,0.902376033
483,16,3,1,1,1
484,16,4,1,1,1
485,16,5,1,1,1
486,16,6,1,1,1
487,16,7,1,1,1
488,16,8,2,1.432534349,0.839102217
489,16,9,1,1,1
490,16,10,1,1,1
491,16,11,1,1,1
492,16,12,1,1,1
493,16,13,1,1,1
494,16,14,2,1.796701742,0.665289256
495,16,15,1,1,1
496,16,16,2,1.506993066,0.806122449
497,16,17,1,1,1
498,16,18,1,1,1
499,16,19,1,1,1
500,16,20,1,1,1
501,16,21,2,1.526090273,0.7975
502,16,22,1,1,1
503,16,23,1,1,1
504,16,24,1,1,1
505,16,25,1,1,1
506,16,26,1,1,1
507,16,27,1,1,1
508,16,28,1,1,1
509,16,29,1,1,1
510,16,30,1,1,1
511,16,31,1,1,1
512,16,32,1,1,1
513,17,1,1,1,1
514,17,2,2,1.28262695,0.902376033
515,17,3,1,1,1
516,17,4,1,1,1
517,17,5,1,1,1
518,17,6,1,1,1
519,17,7,1,1,1
520,17,8,2,1.432534349,0.839102217
521,17,9,3,2.797062133,0.448571429
522,17,10,1,1,1
523,17,11,1,1,1
524,17,12,1,1,1
525,17,13,1,1,1
526,17,14,2,1.796701742,0.665289256
527,17,15,1,1,1
528,17,16,1,1,1
529,17,17,1,1,1
530,17,18,2,1.818968512,0.653061224
531,17,19,2,1.302195976,0.894375857
532,17,20,1,1,1
533,17,21,1,1,1
534,17,22,1,1,1
535,17,23,1,1,1
536,17,24,1,1,1
537,17,25,1,1,1
538,17,26,1,1,1
539,17,27,1,1,1
540,17,28,1,1,1
541,17,29,1,1,1
542,17,30,1,1,1
543,17,31,1,1,1
544,17,32,1,1,1
545,18,1,2,1.219590618,0.9275
546,18,2,2,1.28262695,0.902376033
547,18,3,1,1,1
548,18,4,1,1,1
549,18,5,1,1,1
550,18,6,1,1,1
551,18,7,1,1,1
552,18,8,1,1,1
553,18,9,1,1,1
554,18,10,1,1,1
555,18,11,1,1,1
556,18,12,1,1,1
557,18,13,1,1,1
558,18,14,2,1.796701742,0.665289256
559,18,15,1,1,1
560,18,16,2,1.506993066,0.806122449
561,18,17,2,1.627284557,0.750566893
562,18,18,1,1,1
563,18,19,3,1.956493405,0.705075446
564,18,20,1,1,1
565,18,21,1,1,1
566,18,22,1,1,1
567,18,23,1,1,1
568,18,24,1,1,1
569,18,25,1,1,1
570,18,26,1,1,1
571,18,27,1,1,1
572,18,28,1,1,1
573,18,29,1,1,1
574,18,30,1,1,1
575,18,31,1,1,1
576,18,32,1,1,1
577,19,1,1,1,1
578,19,2,3,1.538072083,0.839359504
579,19,3,1,1,1
580,19,4,2,1.379148062,0.862133835
581,19,5,1,1,1
582,19,6,1,1,1
583,19,7,1,1,1
584,19,8,1,1,1
585,19,9,1,1,1
586,19,10,1,1,1
587,19,11,1,1,1
588,19,12,1,1,1
589,19,13,1,1,1
590,19,14,2,1.796701742,0.665289256
591,19,15,1,1,1
592,19,16,3,2.032192496,0.685941043
593,19,17,1,1,1
594,19,18,1,1,1
595,19,19,1,1,1
596,19,20,1,1,1
597,19,21,2,1.526090273,0.7975
598,19,22,1,1,1
599,19,23,1,1,1
600,19,24,1,1,1
601,19,25,1,1,1
602,19,26,1,1,1
603,19,27,1,1,1
604,19,28,1,1,1
605,19,29,2,1.987666975,0.530864198
606,19,30,1,1,1
607,19,31,1,1,1
608,19,32,1,1,1
609,20,1,1,1,1
610,20,2,2,1.28262695,0.902376033
611,20,3,1,1,1
612,20,4,1,1,1
613,20,5,1,1,1
614,20,6,1,1,1
615,20,7,1,1,1
616,20,8,1,1,1
617,20,9,3,2.797062133,0.448571429
618,20,10,1,1,1
619,20,11,1,1,1
620,20,12,1,1,1
621,20,13,1,1,1
622,20,14,2,1.796701742,0.665289256
623,20,15,1,1,1
624,20,16,3,2.935819181,0.363945578
625,20,17,1,1,1
626,20,18,1,1,1
627,20,19,1,1,1
628,20,20,1,1,1
629,20,21,2,1.649384888,0.74
630,20,22,1,1,1
631,20,23,1,1,1
632,20,24,1,1,1
633,20,25,1,1,1
634,20,26,1,1,1
635,20,27,1,1,1
636,20,28,1,1,1
637,20,29,1,1,1
638,20,30,1,1,1
639,20,31,1,1,1
640,20,32,1,1,1
641,21,1,2,1.219590618,0.9275
642,21,2,3,1.538072083,0.839359504
643,21,3,1,1,1
644,21,4,1,1,1
645,21,5,1,1,1
646,21,6,1,1,1
647,21,7,1,1,1
648,21,8,2,1.432534349,0.839102217
649,21,9,3,2.725782913,0.471836735
650,21,10,1,1,1
651,21,11,1,1,1
652,21,12,1,1,1
653,21,13,1,1,1
654,21,14,2,1.796701742,0.665289256
655,21,15,1,1,1
656,21,16,3,1.650448244,0.801587302
657,21,17,2,1.627284557,0.750566893
658,21,18,1,1,1
659,21,19,1,1,1
660,21,20,3,1.790659961,0.761814745
661,21,21,2,1.526090273,0.7975
662,21,22,2,1.189110093,0.939236111
663,21,23,1,1,1
